%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
586	563.366	43.2042	0	0	2262	-0.703584	0.787977	1519743960689
587	566.351	43.2291	0	0	2265.5	1.69357	0.761563	1519743960735
588	572.489	43.2794	0	0	2240	1.93639	0.7775	1519743960782
589	574.878	43.4984	0	0	2244.5	2.22663	0.779886	1519743960828
590	580.089	44.4294	0	0	2249	2.34235	0.754122	1519743960873
591	582.178	44.7036	0	0	2243.5	2.20796	0.754168	1519743960918
592	583.874	44.9777	0	0	2247	-0.748212	0.775966	1519743960972
593	587.022	45.6441	0	0	2223	-0.545167	0.777198	1519743961019
594	588.084	46.0921	0	0	2229.5	-0.464624	0.788355	1519743961064
595	590.787	47.3062	0	0	2218	-0.559799	0.789187	1519743961111
596	592.336	48.1405	0	0	2204.5	-0.353357	0.783545	1519743961157
597	594.071	49.302	0	0	2222.5	-0.344518	0.78588	1519743961202
598	597.474	52.3322	0	0	2190.5	-0.158553	0.768954	1519743961247
599	599.056	54.4562	0	0	2184	-0.170832	0.783987	1519743961292
600	600.442	56.789	0	0	2171.5	-0.0422278	0.801507	1519743961338
601	602.678	63.4721	0	0	2166	0.170246	0.774681	1519743961383
602	603.401	67.6133	0	0	2178	0.260202	0.79172	1519743961429
603	603.618	72.4314	0	0	2158.5	0.227838	0.77971	1519743961475
604	602.83	82.5093	0	0	2134	0.363821	0.808956	1519743961520
605	601.922	87.4674	0	0	2096	0.419104	0.807942	1519743961565
606	598.818	97.9083	0	0	2121	0.473569	0.792547	1519743961609
607	597.157	102.436	0	0	2116	0.486655	0.805165	1519743961654
608	595.824	106.474	0	0	2121.5	0.493838	0.802078	1519743961699
609	594.621	109.874	0	0	2117	0.525866	0.791052	1519743961744
610	591.559	117.483	0	0	2129.5	0.53209	0.797833	1519743961789
611	590.004	120.96	0	0	2129	0.552201	0.792566	1519743961835
612	586.315	129.318	0	0	2165	0.546516	0.77884	1519743961880
613	584.536	132.937	0	0	2174.5	0.55037	0.784293	1519743961926
614	583.004	136.142	0	0	2179.5	0.603566	0.769514	1519743961979
615	580.082	141.597	0	0	2133.5	0.62133	0.786269	1519743962024
616	578.333	144.632	0	0	2152	0.667234	0.783964	1519743962068
617	576.238	147.865	0	0	2140.5	0.661298	0.806223	1519743962114
618	571.854	154.653	0	0	2168	0.632121	0.786881	1519743962158
619	569.993	157.488	0	0	2159.5	0.681174	0.788756	1519743962205
620	566.133	163.558	0	0	2163	0.708522	0.795049	1519743962250
621	564.018	166.913	0	0	2161	0.692291	0.767743	1519743962296
622	561.71	170.203	0	0	2173.5	0.690385	0.779871	1519743962342
623	557.225	176.525	0	0	2181.5	0.704163	0.78972	1519743962388
624	555.283	179.528	0	0	2184	0.68445	0.769122	1519743962437
625	553.698	182.185	0	0	2196	0.656468	0.766608	1519743962483
626	550.071	188.321	0	0	2186.5	0.706793	0.781666	1519743962529
627	548.14	191.308	0	0	2181.5	0.706806	0.779878	1519743962574
628	543.468	198.233	0	0	2207.5	0.683756	0.775404	1519743962620
629	541.389	201.278	0	0	2213	0.695866	0.763087	1519743962665
630	539.358	204.363	0	0	2211	0.69553	0.753122	1519743962710
631	535.543	210.428	0	0	2208.5	0.691152	0.756882	1519743962754
632	533.629	213.323	0	0	2209.5	0.703722	0.766578	1519743962800
633	531.638	216.35	0	0	2207.5	0.694584	0.772598	1519743962845
634	527.196	222.539	0	0	2218	0.722244	0.764811	1519743962890
635	525.079	225.624	0	0	2223	0.696383	0.762652	1519743962935
636	523.12	228.697	0	0	2232	0.714982	0.747324	1519743962988
637	519.373	234.617	0	0	2224	0.732675	0.76688	1519743963034
638	517.406	237.483	0	0	2225	0.746402	0.767225	1519743963080
639	512.773	243.76	0	0	2239	0.753772	0.74068	1519743963125
640	510.693	246.748	0	0	2240	0.720111	0.75646	1519743963171
641	508.719	249.691	0	0	2235	0.741374	0.745684	1519743963215
642	504.337	256.197	0	0	2247.5	0.754338	0.760906	1519743963261
643	502.449	259.095	0	0	2243.5	0.740235	0.746651	1519743963306
644	500.047	262.338	0	0	2234	0.746812	0.770328	1519743963351
645	495.302	268.781	0	0	2248	0.821999	0.734794	1519743963396
646	492.85	271.823	0	0	2246.5	0.787512	0.747649	1519743963441
647	490.596	274.782	0	0	2255	0.783146	0.745973	1519743963488
648	486.512	280.174	0	0	2248	0.80686	0.737374	1519743963534
649	484.303	282.911	0	0	2259.5	0.843379	0.742987	1519743963580
650	478.648	289.663	0	0	2287.5	0.826193	0.733423	1519743963627
651	476.156	292.753	0	0	2296	0.804959	0.740525	1519743963673
652	474.02	295.478	0	0	2294	0.80257	0.758874	1519743963719
653	469.712	300.752	0	0	2291	0.810309	0.745155	1519743963766
