%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
331	523.279	188.68	0	0	2745.5	-0.249612	0.841687	1523020147154
332	526.853	189.812	0	0	2753	-0.236095	0.832315	1523020147187
333	530.726	190.84	0	0	2750	-0.172645	0.838208	1523020147220
334	534.56	191.874	0	0	2756.5	-0.200186	0.835361	1523020147266
335	538.205	192.968	0	0	2757.5	-0.111507	0.822226	1523020147299
336	541.867	193.898	0	0	2764.5	-0.115496	0.831009	1523020147331
337	545.894	194.967	0	0	2762	-0.110647	0.832232	1523020147363
338	549.718	196.002	0	0	2763	-0.129914	0.825818	1523020147395
339	552.995	196.85	0	0	2771	-0.100351	0.834944	1523020147427
340	556.987	197.945	0	0	2773	-0.0991762	0.828807	1523020147459
341	560.933	198.9	0	0	2777	-0.0771611	0.830002	1523020147491
342	565.137	199.888	0	0	2781.5	-0.100169	0.833319	1523020147523
343	569.096	200.673	0	0	2781	-0.0803534	0.828422	1523020147555
344	572.567	201.372	0	0	2783	-0.0923075	0.806642	1523020147603
345	576.42	202.218	0	0	2776.5	-0.0628365	0.815805	1523020147636
346	580.064	202.976	0	0	2790.5	-0.0661224	0.819919	1523020147667
347	583.267	203.68	0	0	2789.5	-0.0745511	0.826233	1523020147699
348	586.127	204.179	0	0	2786	-0.0651774	0.813978	1523020147731
349	588.877	204.688	0	0	2802	-0.0565915	0.805724	1523020147763
350	591.827	205.145	0	0	2793	-0.0651497	0.809541	1523020147795
351	594.727	205.672	0	0	2799.5	-0.0430076	0.81332	1523020147826
352	597.552	206.017	0	0	2797	-0.0525275	0.804286	1523020147858
353	599.972	206.528	0	0	2807	-0.0584336	0.804518	1523020147890
354	602.329	206.813	0	0	2796.5	-0.0873396	0.812448	1523020147922
355	604.226	206.936	0	0	2796.5	-0.0949419	0.764043	1523020147971
356	605.565	207.107	0	0	2801.5	-0.0756501	0.829787	1523020148003
357	606.348	207.238	0	0	2805.5	-0.0870109	0.802227	1523020148035
358	606.875	207.354	0	0	2803.5	-0.0916941	0.799036	1523020148067
359	607.728	207.472	0	0	2800	-0.0829015	0.802511	1523020148098
386	608.157	247.313	0	0	2718.5	0.268102	0.77124	1523020148994
387	604.139	251.921	0	0	2729	0.220299	0.684199	1523020149026
388	600.268	256.16	0	0	2733.5	0.210858	0.688928	1523020149074
389	596.655	259.891	0	0	2736.5	0.234653	0.700037	1523020149106
390	593.406	263.313	0	0	2724	0.305435	0.768515	1523020149139
391	590.556	266.346	0	0	2718	0.327586	0.760836	1523020149171
392	587.74	268.962	0	0	2727.5	0.259627	0.697735	1523020149203
393	584.639	271.785	0	0	2723	0.245808	0.687776	1523020149236
394	581.625	274.673	0	0	2691.5	0.367805	0.784531	1523020149267
395	577.933	277.62	0	0	2717.5	0.282093	0.695177	1523020149298
396	574.707	280.615	0	0	2714.5	0.325682	0.709332	1523020149330
397	571.448	283.379	0	0	2719.5	0.348183	0.71604	1523020149362
398	568.194	286.159	0	0	2718.5	0.375643	0.731385	1523020149394
399	565.001	289	0	0	2720.5	0.298314	0.690769	1523020149442
400	561.996	291.439	0	0	2719	0.368709	0.730839	1523020149474
401	558.731	294.266	0	0	2711.5	0.436236	0.79036	1523020149506
402	555.439	296.881	0	0	2724	0.417834	0.726604	1523020149538
403	552.333	299.249	0	0	2731	0.328883	0.715226	1523020149570
404	549.518	301.625	0	0	2710.5	0.386693	0.746303	1523020149604
405	546.566	303.846	0	0	2738.5	0.335248	0.721042	1523020149636
406	543.63	306.191	0	0	2744.5	0.374062	0.741708	1523020149668
407	540.851	308.554	0	0	2736.5	0.403664	0.804052	1523020149699
408	538.058	310.856	0	0	2743.5	0.442012	0.790737	1523020149731
409	536.569	312.286	0	0	2736	0.478567	0.80848	1523020149763
410	535.82	312.862	0	0	2739	0.453182	0.834855	1523020149811
411	535.055	313.472	0	0	2750	0.326336	0.854972	1523020149843
412	534.329	314.116	0	0	2751.5	0.300908	0.763503	1523020149875
413	533.003	315.686	0	0	2730.5	0.382064	0.802289	1523020149907
414	531.085	317.924	0	0	2735	0.399941	0.79273	1523020149939
415	528.855	320.648	0	0	2741.5	0.411023	0.821335	1523020149971
416	526.925	323.411	0	0	2731.5	0.48541	0.844292	1523020150003
417	525.139	325.837	0	0	2733	0.411144	0.833026	1523020150037
418	523.955	328.233	0	0	2716	0.46677	0.858497	1523020150067
419	522.22	331.197	0	0	2733	0.425792	0.856735	1523020150099
420	520.909	334.425	0	0	2723.5	0.44916	0.858776	1523020150131
421	519.1	338.05	0	0	2724	0.482065	0.853913	1523020150178
422	517.687	341.495	0	0	2725	0.466844	0.854227	1523020150211
423	516.044	344.933	0	0	2733	0.516715	0.849687	1523020150243
424	514.61	348.117	0	0	2761	0.480497	0.845599	1523020150275
425	513.46	350.976	0	0	2753	0.441518	0.848893	1523020150306
426	511.95	354.442	0	0	2752.5	0.470324	0.857819	1523020150338
427	510.81	357.749	0	0	2758	0.475024	0.840647	1523020150371
428	509.851	360.807	0	0	2756	0.447638	0.85392	1523020150403
429	508.507	365.11	0	0	2761.5	0.493171	0.860624	1523020150436
430	506.975	369.34	0	0	2759	0.527656	0.840951	1523020150468
431	505.609	373.538	0	0	2770.5	0.552306	0.846479	1523020150514
432	504.444	377.522	0	0	2761.5	0.60586	0.863574	1523020150546
